system:index,PLOTID,dw_2015_2018,dw_2015_2021,dw_2018_2021,me_2015_2018,me_2015_2021,me_2018_2021,.geo
00000000000000000066,id_85256491,6.0,6.0,6.0,8.0,6.0,14.0,"{""type"":""Point"",""coordinates"":[10.74405683794308,59.95465593186231]}"
00000000000000000145,id_9002408,6.0,6.0,6.0,8.0,6.0,14.0,"{""type"":""Point"",""coordinates"":[10.74405683794308,59.95465593186231]}"
00000000000000000447,id_4890914,6.0,6.0,6.0,8.0,6.0,14.0,"{""type"":""Point"",""coordinates"":[10.74405683794308,59.95465593186231]}"
0000000000000000053d,id_4429597,6.0,6.0,6.0,8.0,6.0,14.0,"{""type"":""Point"",""coordinates"":[10.74405683794308,59.95465593186231]}"
000000000000000005a4,id_47006265,6.0,6.0,6.0,8.0,6.0,14.0,"{""type"":""Point"",""coordinates"":[10.74405683794308,59.95465593186231]}"
00000000000000000671,id_12193856,6.0,6.0,6.0,8.0,6.0,14.0,"{""type"":""Point"",""coordinates"":[10.74405683794308,59.95465593186231]}"
0000000000000000033f,id_80341414,6.0,6.0,6.0,6.0,6.0,6.0,"{""type"":""Point"",""coordinates"":[10.85253338927026,59.9505758543984]}"
00000000000000000360,id_80999376,6.0,6.0,6.0,6.0,6.0,6.0,"{""type"":""Point"",""coordinates"":[10.85253338927026,59.9505758543984]}"
000000000000000006d3,id_14310866,6.0,6.0,6.0,6.0,6.0,6.0,"{""type"":""Point"",""coordinates"":[10.85253338927026,59.9505758543984]}"
00000000000000000a4b,id_71737742,6.0,6.0,6.0,6.0,6.0,6.0,"{""type"":""Point"",""coordinates"":[10.85253338927026,59.9505758543984]}"
00000000000000000ada,id_58342070,6.0,6.0,6.0,6.0,6.0,6.0,"{""type"":""Point"",""coordinates"":[10.85253338927026,59.9505758543984]}"
000000000000000009fd,id_69983726,14.0,14.0,6.0,16.0,16.0,16.0,"{""type"":""Point"",""coordinates"":[10.830737303321014,59.867079187172635]}"
00000000000000000133,id_89748704,6.0,6.0,6.0,7.0,7.0,11.0,"{""type"":""Point"",""coordinates"":[10.748721057644984,59.95818753989664]}"
00000000000000000042,id_8456273,6.0,6.0,6.0,14.0,14.0,6.0,"{""type"":""Point"",""coordinates"":[10.750941689969602,59.95618540352364]}"
0000000000000000081e,id_31196084,6.0,6.0,6.0,14.0,14.0,6.0,"{""type"":""Point"",""coordinates"":[10.750941689969602,59.95618540352364]}"
000000000000000004b1,id_51596068,6.0,6.0,6.0,11.0,11.0,11.0,"{""type"":""Point"",""coordinates"":[10.650273024587007,59.92335304246713]}"
0000000000000000055c,id_45128920,6.0,6.0,6.0,11.0,11.0,11.0,"{""type"":""Point"",""coordinates"":[10.650273024587007,59.92335304246713]}"
00000000000000000933,id_65262811,5.0,5.0,1.0,8.0,6.0,14.0,"{""type"":""Point"",""coordinates"":[10.717449381957168,59.90767484316321]}"
00000000000000000219,id_93893772,11.0,11.0,11.0,11.0,11.0,11.0,"{""type"":""Point"",""coordinates"":[10.593566636490335,59.98314512849279]}"
000000000000000003be,id_83166778,11.0,11.0,11.0,11.0,11.0,11.0,"{""type"":""Point"",""coordinates"":[10.593566636490335,59.98314512849279]}"
0000000000000000076e,id_26593185,11.0,11.0,11.0,11.0,11.0,11.0,"{""type"":""Point"",""coordinates"":[10.593566636490335,59.98314512849279]}"
000000000000000008bd,id_34107128,11.0,11.0,11.0,11.0,11.0,11.0,"{""type"":""Point"",""coordinates"":[10.593566636490335,59.98314512849279]}"
00000000000000000ae7,id_58574533,11.0,11.0,11.0,11.0,11.0,11.0,"{""type"":""Point"",""coordinates"":[10.593566636490335,59.98314512849279]}"
00000000000000000314,id_79328037,11.0,11.0,11.0,11.0,11.0,11.0,"{""type"":""Point"",""coordinates"":[10.722488166147564,59.987635443253595]}"
00000000000000000333,id_80117900,11.0,11.0,11.0,11.0,11.0,11.0,"{""type"":""Point"",""coordinates"":[10.722488166147564,59.987635443253595]}"
00000000000000000581,id_46117995,11.0,11.0,11.0,11.0,11.0,11.0,"{""type"":""Point"",""coordinates"":[10.722488166147564,59.987635443253595]}"
00000000000000000770,id_26645402,11.0,11.0,11.0,11.0,11.0,11.0,"{""type"":""Point"",""coordinates"":[10.722488166147564,59.987635443253595]}"
00000000000000000a2f,id_71265412,11.0,11.0,11.0,11.0,11.0,11.0,"{""type"":""Point"",""coordinates"":[10.722488166147564,59.987635443253595]}"
00000000000000000a8f,id_7329122,11.0,11.0,11.0,11.0,11.0,11.0,"{""type"":""Point"",""coordinates"":[10.722488166147564,59.987635443253595]}"
00000000000000000350,id_80695008,9.0,9.0,1.0,1.0,1.0,1.0,"{""type"":""Point"",""coordinates"":[10.645836219038827,60.06117939692808]}"
000000000000000000fa,id_8859828,12.0,11.0,15.0,16.0,15.0,15.0,"{""type"":""Point"",""coordinates"":[10.548422697425249,60.018077726145464]}"
00000000000000000191,id_91819771,6.0,6.0,6.0,6.0,7.0,7.0,"{""type"":""Point"",""coordinates"":[10.742478316170162,59.96213384432893]}"
0000000000000000012d,id_89663415,11.0,11.0,11.0,11.0,11.0,11.0,"{""type"":""Point"",""coordinates"":[10.85543626405605,59.85191378448987]}"
000000000000000002aa,id_76704369,11.0,11.0,11.0,11.0,11.0,11.0,"{""type"":""Point"",""coordinates"":[10.85543626405605,59.85191378448987]}"
000000000000000002c5,id_77375380,11.0,11.0,11.0,11.0,11.0,11.0,"{""type"":""Point"",""coordinates"":[10.85543626405605,59.85191378448987]}"
0000000000000000030f,id_7915483,11.0,11.0,11.0,11.0,11.0,11.0,"{""type"":""Point"",""coordinates"":[10.85543626405605,59.85191378448987]}"
000000000000000006e2,id_14679115,11.0,11.0,11.0,11.0,11.0,11.0,"{""type"":""Point"",""coordinates"":[10.85543626405605,59.85191378448987]}"
0000000000000000095c,id_6613685,11.0,11.0,11.0,11.0,11.0,11.0,"{""type"":""Point"",""coordinates"":[10.85543626405605,59.85191378448987]}"
000000000000000001e3,id_93751124,11.0,11.0,11.0,11.0,11.0,11.0,"{""type"":""Point"",""coordinates"":[10.5948151847853,60.0946717049405]}"
